Tag; Feiertage; Bundesland
01.01.2015; Neujahr; Nordrhein-Westfalen
03.04.2015; Karfreitag; Nordrhein-Westfalen
06.04.2015; Ostermontag; Nordrhein-Westfalen
01.05.2015; Maifeiertag; Nordrhein-Westfalen
14.05.2015; Christi Himmelfahrt; Nordrhein-Westfalen
25.05.2015; Pfingstmontag; Nordrhein-Westfalen
04.06.2015; Fronleichnam; Nordrhein-Westfalen
03.10.2015; Tag der Deutschen Einheit; Nordrhein-Westfalen
01.11.2015; Allerheiligen; Nordrhein-Westfalen
25.12.2015; 1. Weihnachtstag; Nordrhein-Westfalen
26.12.2015; 2. Weihnachtstag; Nordrhein-Westfalen
